,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
72815,72816,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Certification videos,Udemy;Coursera;Udacity,17,11,"Engineer, data",500 to 999 employees,I have some influence,Investigate,Start a free trial;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,INR	Indian rupee,5000000.0,Java;Python;Scala,Java;Python;Scala,BigQuery;Dynamodb;Elasticsearch;H2;IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL,Elasticsearch,,,React,,Apache Kafka;Apache Spark,Apache Kafka;Apache Spark,Kubernetes,Kubernetes,IntelliJ IDEA,IntelliJ IDEA,Windows,Windows,GitHub Discussions,GitHub Discussions,Telegram,Telegram,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,,,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",It would be great for the developers if they start getting answers and better feel in experince from the stack overflow itself,"No, but I plan to soon",Very favorable,,Somewhat trust,,,,,,,,,Yes,People manager,11.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Easy,60584.0
72847,72848,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Stack Overflow,,4,4,"Developer, embedded applications or devices",20 to 99 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,3000000.0,Python,C;C++;Python,,,,,,,NumPy;Pandas;Scikit-Learn,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,,,,,MacOS,Debian,Clickup,Clickup,,,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",Stack Overflow should use AI if it improves the experience of the users. AI can help in finding the right question to solve my problem.,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Too long,Easy,36351.0
72883,72884,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Stack Overflow,,22,15,Security professional,"10,000 or more employees",I have little or no influence,,Start a free trial,India,INR	Indian rupee,4000000.0,C;C#;C++;Java;JavaScript;Kotlin;Python,Java;JavaScript;Kotlin;Python,Cassandra;Elasticsearch;MySQL;PostgreSQL,Cassandra;Elasticsearch;MySQL,,,Angular;AngularJS;ASP.NET,,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Apache Spark;Hadoop,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Apache Spark;Hadoop,Ant;bandit;CMake;Gradle;Make;Maven (build tool);MSBuild;MSVC;npm;NuGet;Pip;Visual Studio Solution,Ant;CMake;Gradle;Make;Maven (build tool);MSBuild;MSVC;npm;NuGet;Pip;Visual Studio Solution,Android Studio;Eclipse;IntelliJ IDEA;Notepad++;Vim;Visual Studio;Visual Studio Code;Xcode,Android Studio;Eclipse;IntelliJ IDEA;Notepad++;Vim;Visual Studio;Visual Studio Code;Xcode,MacOS;Ubuntu;Windows,MacOS;Ubuntu;Windows,GitHub Discussions;Markdown File,GitHub Discussions;Markdown File,,,ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",AI can be used to improve accuracy search results,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,People manager,15.0,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,48468.0
72947,72948,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Coding Bootcamp,,Udemy,9,6,"Developer, back-end",100 to 499 employees,I have a great deal of influence,Given a list,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,1800000.0,C;C#;HTML/CSS;Java;Python;SQL;TypeScript,Java;Python;SQL;TypeScript,BigQuery;Dynamodb;Elasticsearch;H2;InfluxDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,BigQuery;Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;AngularJS;Django;Flask;Next.js;Node.js;Spring Boot,Django;Flask;Node.js;Spring Boot,Apache Kafka;Apache Spark;Hadoop;Keras;NumPy;Opencv;Pandas;Scikit-Learn;Spring Framework;TensorFlow,Apache Kafka;Apache Spark;Flutter;NumPy;Opencv;Pandas;Scikit-Learn;Spring Framework,APT;CMake;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Yarn,APT;CMake;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Yarn,Atom;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PyCharm;RStudio;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Android Studio;Atom;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PyCharm;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Xcode,MacOS;Ubuntu;Windows,MacOS;Ubuntu,Confluence;Jira,Confluence;Jira,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely","You could integrate ChatGPT like system when someone post a question on stackoverflow, and show them answer or recommendations from AI.",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Somewhat trust,Learning about a codebase;Project planning;Writing code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Testing code,Writing code;Debugging and getting help;Committing and reviewing code,Deployment and monitoring;Collaborating with teammates ,,,Documenting code,Yes,People manager,6.0,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,1-2 times a week,3-5 times a week,Never,Over 120 minutes a day,60-120 minutes a day,DevOps function;Microservices;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Difficult,21810.0
73200,73201,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Books;Video-based Online Courses,Udemy,10,10,"Developer, back-end","10,000 or more employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,INR	Indian rupee,4000000.0,Java;Python,Go;Python,Oracle,Elasticsearch;MongoDB;Neo4J;Redis,Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Spring Boot,FastAPI;Node.js,Apache Kafka,Apache Kafka;RabbitMQ,Docker;Kubernetes;Maven (build tool);Pip,Docker;Kubernetes;Maven (build tool);Pip,IntelliJ IDEA;PyCharm;Visual Studio Code,IntelliJ IDEA;PyCharm;Visual Studio Code,MacOS,MacOS,,,Slack;Zoom,Microsoft Teams;Slack,,,,,Stack Overflow;Collectives on Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",,"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,10.0,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,48468.0
73295,73296,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Blogs with tips and tricks;How-to videos,,17,13,"Developer, embedded applications or devices","10,000 or more employees",I have little or no influence,,Start a free trial,India,INR	Indian rupee,2000000.0,C;C++;Python,Haskell;Rust,BigQuery;SQLite,,Google Cloud,,,,Pandas,CUDA;Hugging Face Transformers;Keras;TensorFlow;Torch/PyTorch,CMake,,Sublime Text;Vim;Visual Studio Code,,Other Linux-based,,,,Google Chat;Google Meet,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No idea,Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Collaborating with teammates ,Writing code,Project planning;Committing and reviewing code,,,Writing code,,,No,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,24234.0
73537,73538,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Certification videos",Other;Udacity,11,7,"Developer, full-stack",20 to 99 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,1800000.0,C#;Java;JavaScript;Python;SQL,C#;Dart;Go;Java;JavaScript;Python;SQL,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;WordPress,Angular;Django;FastAPI;WordPress,.NET (5+) ;Micronaut;Pandas,.NET (5+) ;Flutter,Chocolatey;Docker;Gradle;MSBuild;npm;NuGet;Pip;Terraform;Webpack,Docker;Gradle;MSBuild;npm;NuGet;Pip,IntelliJ IDEA;Notepad++;Rider;Visual Studio Code;WebStorm,DataGrip;IntelliJ IDEA;Notepad++;PyCharm;Rider;Visual Studio Code;WebStorm,Windows,Windows,Azure Devops,Azure Devops,Google Meet;Microsoft Teams;Zoom,Google Meet,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat","Sure, give it a try.",Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat distrust,,,,,,,,,Yes,Individual contributor,7.0,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,30-60 minutes a day,Microservices,"Information Services, IT, Software Development, or other Technology",Too long,Easy,21810.0
73539,73540,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,17,13,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,India,USD	United States dollar,60000.0,HTML/CSS;JavaScript;PHP;Python;R;SQL,HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis;SQLite,BigQuery;MySQL;Neo4J;PostgreSQL;Redis;SQLite,Digital Ocean;Google Cloud;IBM Cloud Or Watson;Microsoft Azure;Netlify,Digital Ocean;Google Cloud;Microsoft Azure,Express;Node.js;Vue.js,Express;Flask;Node.js;Svelte;Vue.js,RabbitMQ;Tidyverse,Apache Kafka;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Homebrew;Make;npm;Pip;Vite;Yarn,Docker;Homebrew;Kubernetes;Make;npm;Pip;Vite;Yarn,RStudio;Visual Studio Code,Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,MacOS,MacOS,Asana;Basecamp;Jira,Asana;Basecamp;Jira,Google Chat;Google Meet;Microsoft Teams;Zoom,Google Chat;Google Meet;Zoom,Bing AI,Bing AI;Google Bard AI,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,A few times per week,"Yes, definitely",Suggestions should be okay. AI might help with a finding a similar question with better answers?,Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code,,,,Writing code,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,60000.0
73543,73544,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow;Certification videos,Udemy;Coursera,8,1,"Developer, front-end",100 to 499 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with,India,INR	Indian rupee,5000000.0,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Assembly;Bash/Shell (all shells);Cobol;JavaScript;Lua;Rust;TypeScript,MySQL;PostgreSQL,,Cloudflare;Vercel,Cloudflare;Vercel,Express;Gatsby;Next.js;Node.js;React;Solid.js;Svelte,Next.js;Node.js;Qwik;React;Remix;Solid.js,,,Bun;npm;Vite,Bun;npm;Vite,Neovim;Visual Studio Code,Neovim,Arch;MacOS;Windows,Arch;MacOS,Clickup;Notion;Trello,Clickup;Notion,,,Bing AI;ChatGPT;Google Bard AI,Bing AI;ChatGPT;Google Bard AI,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",The biggest concern would be accuracy and the hallucination problem but if that is figured out I dont see any downside in incorporating AI.,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Debugging and getting help,,Debugging and getting help,,,,,No,,,,,,,,,,,,,,,,,,Too long,Easy,60584.0
73640,73641,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",edX;Udemy;Coursera;Udacity,11,6,Data scientist or machine learning specialist,100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,1700000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Go;HTML/CSS;Julia;Python;SQL,PostgreSQL;SQLite,DuckDB;MongoDB;PostgreSQL,Google Cloud;Heroku,Amazon Web Services (AWS);Digital Ocean,FastAPI;Flask,FastAPI,CUDA;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Apache Kafka;Apache Spark;CUDA;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;CMake;GNU GCC;Make;Meson;Pip,APT;CMake;GNU GCC;Make;Meson;Pip,IPython;Jupyter Notebook/JupyterLab;Nano;Visual Studio Code;VSCodium,IPython;Jupyter Notebook/JupyterLab;Nano;Visual Studio Code;VSCodium,Android;Debian;iPadOS;Ubuntu,Debian;Ubuntu,Jira;Markdown File;Notion,Jira;Markdown File,Microsoft Teams;Whatsapp,Slack,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",Totally disagree. I want real humans to help me with my queries. AI would degrade the quality of SO as a platform to be relied upon.,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,6.0,Agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,None of these,Financial Services,Appropriate in length,Easy,20599.0
73800,73801,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Blogs with tips and tricks;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",edX;Udemy;Coursera;Udacity,6,2,"Developer, full-stack","10,000 or more employees",I have little or no influence,,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,4000000.0,C#;Dart;JavaScript;Kotlin;Python;TypeScript,Dart;Kotlin;Python;Rust;TypeScript,Cosmos DB;Microsoft SQL Server,Cosmos DB;Microsoft SQL Server,Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,React;Vue.js,Vue.js,.NET (5+) ;CUDA;Electron;Flutter;Opencv;Pandas;React Native;Torch/PyTorch,CUDA;Flutter;Opencv;Pandas;Torch/PyTorch,Chocolatey;Gradle;npm;Pip;Vite;Webpack;Yarn,Pip;Vite;Yarn,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu;Windows Subsystem for Linux (WSL),Windows,Azure Devops;Clickup,Azure Devops,Discord;Microsoft Teams;Telegram;Whatsapp,Discord;Microsoft Teams;Telegram;Whatsapp,Bing AI;ChatGPT,Bing AI;ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all","Explain human answers,find better answers, help humans write better answers",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Committing and reviewing code,Writing code;Documenting code;Debugging and getting help;Testing code,Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Testing code,,,,Debugging and getting help,Yes,Individual contributor,3.0,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Easy,48468.0
73817,73818,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow,,6,2,"Developer, full-stack","10,000 or more employees",I have some influence,Investigate,Ask developers I know/work with,India,INR	Indian rupee,3000000.0,Java;Python,,Dynamodb;PostgreSQL;Redis,Dynamodb;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),React,,,,Ant;Maven (build tool);npm,,IntelliJ IDEA;Sublime Text;Visual Studio Code,IntelliJ IDEA;Sublime Text;Visual Studio Code,Windows,MacOS,Asana,Asana;Jira,Google Meet;Slack,Slack,ChatGPT,ChatGPT,AWS CodeWhisperer,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really","Tagging questions using AI, giving a suggestive answer using AI",Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,Learning about a codebase,,,,,Writing code,Yes,Individual contributor,2.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Easy,36351.0
73849,73850,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,12,6,"Developer, back-end",500 to 999 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,India,INR	Indian rupee,1675000.0,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;Rust;SQL,Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI,FastAPI;Nuxt.js;Vue.js,Apache Spark;NumPy;Pandas;Scikit-Learn,Apache Kafka;Apache Spark;CUDA;Flutter;Hugging Face Transformers;Ionic;Keras;NumPy;Pandas;RabbitMQ;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Pip,Pip,IPython;Jupyter Notebook/JupyterLab;Nano;Vim;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Nano;Vim;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Miro;Notion,Airtable;Asana;Basecamp;Confluence;Jira;Miro;Notion,Google Chat;Google Meet;Slack;Whatsapp,Discord;Microsoft Teams;Slack;Whatsapp,ChatGPT,Bing AI;ChatGPT;Google Bard AI,AWS CodeWhisperer;GitHub Copilot,AWS CodeWhisperer,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Not sure,,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,,Writing code,,,Yes,People manager,5.0,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,1-2 times a week,1-2 times a week,3-5 times a week,60-120 minutes a day,30-60 minutes a day,,Retail and Consumer Services,Appropriate in length,Easy,20296.0
